Document,Total Words,CARDINAL_spacy_raw,CARDINAL_spacy_norm,DATE_spacy_raw,DATE_spacy_norm,EVENT_spacy_raw,EVENT_spacy_norm,FAC_spacy_raw,FAC_spacy_norm,GPE_spacy_raw,GPE_spacy_norm,LANGUAGE_spacy_raw,LANGUAGE_spacy_norm,LAW_spacy_raw,LAW_spacy_norm,LOC_spacy_raw,LOC_spacy_norm,MONEY_spacy_raw,MONEY_spacy_norm,NORP_spacy_raw,NORP_spacy_norm,ORDINAL_spacy_raw,ORDINAL_spacy_norm,ORG_spacy_raw,ORG_spacy_norm,PERCENT_spacy_raw,PERCENT_spacy_norm,PERSON_spacy_raw,PERSON_spacy_norm,PRODUCT_spacy_raw,PRODUCT_spacy_norm,QUANTITY_spacy_raw,QUANTITY_spacy_norm,TIME_spacy_raw,TIME_spacy_norm,WORK_OF_ART_spacy_raw,WORK_OF_ART_spacy_norm,climate-assets_cc_raw,climate-assets_cc_norm,climate-datasets_cc_raw,climate-datasets_cc_norm,climate-greenhouse-gases_cc_raw,climate-greenhouse-gases_cc_norm,climate-hazards_cc_raw,climate-hazards_cc_norm,climate-impacts_cc_raw,climate-impacts_cc_norm,climate-mitigations_cc_raw,climate-mitigations_cc_norm,climate-models_cc_raw,climate-models_cc_norm,climate-nature_cc_raw,climate-nature_cc_norm,climate-observations_cc_raw,climate-observations_cc_norm,climate-organisms_cc_raw,climate-organisms_cc_norm,climate-organizations_cc_raw,climate-organizations_cc_norm,climate-problem-origins_cc_raw,climate-problem-origins_cc_norm,climate-properties_cc_raw,climate-properties_cc_norm
AR1_WG3_SPM.spacy,9043,229,25.32345460577242,67,7.409045670684508,4,0.4423310848169855,1.0,0.11058277120424638,10,1.1058277120424638,0.0,0.0,16,1.769324339267942,15,1.6587415680636957,8,0.884662169633971,2,0.22116554240849276,11,1.2164104832467102,139,15.371005197390247,50,5.529138560212319,6.0,0.6634966272254782,9.0,0.9952449408382174,23.0,2.543403737697667,1.0,0.11058277120424638,4.0,0.4423310848169855,182,20.12606435917284,57,6.303217958642043,111,12.274687603671348,97,10.7265288068119,10,1.1058277120424638,363,40.14154594714144,14,1.5481587968594492,124,13.712263629326552,5.0,0.5529138560212319,10.0,1.1058277120424638,172,19.020236647130375,382,42.24261860002212,71,7.8513767555014935
AR2_WG3_SPM.spacy,5778,59,10.211145725164416,26,4.499826929733472,1,0.17307026652821048,0.0,0.0,1,0.17307026652821048,0.0,0.0,9,1.557632398753894,1,0.17307026652821048,7,1.2114918656974731,2,0.34614053305642095,7,1.2114918656974731,31,5.365178262374524,17,2.9421945309795774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.17307026652821048,71,12.287988923502942,8,1.3845621322256838,20,3.461405330564209,51,8.826583592938734,59,10.211145725164416,182,31.498788508134304,1,0.17307026652821048,15,2.596053997923157,0.0,0.0,2.0,0.34614053305642095,43,7.4420214607130495,98,16.960886119764623,31,5.365178262374524
AR3_WG3_SPM.spacy,5261,163,30.98270290819236,62,11.784831781030222,1,0.19007793195210038,3.0,0.5702337958563011,10,1.9007793195210037,0.0,0.0,20,3.8015586390420073,3,0.5702337958563011,18,3.4214027751378064,5,0.9503896597605018,1,0.19007793195210038,90,17.10701387568903,14,2.661091047329405,9.0,1.7107013875689032,27.0,5.132104162706709,6.0,1.1404675917126021,1.0,0.19007793195210038,1.0,0.19007793195210038,40,7.603117278084015,134,25.470442881581448,71,13.495533168599126,23,4.371792434898309,7,1.3305455236647026,266,50.560729899258696,35,6.652727618323513,33,6.272571754419312,0.0,0.0,2.0,0.38015586390420075,61,11.59475384907812,198,37.63543052651587,42,7.9832731419882155
AR4_WG3_SPM.spacy,8086,421,52.06529804600544,115,14.222112292851842,2,0.2473410833539451,1.0,0.12367054167697256,9,1.113034875092753,0.0,0.0,14,1.7313875834776156,11,1.360375958446698,19,2.3497402918624783,4,0.4946821667078902,19,2.3497402918624783,184,22.75537966856295,64,7.914914667326244,20.0,2.473410833539451,47.0,5.8125154588177095,18.0,2.226069750185506,11.0,1.360375958446698,3.0,0.3710116250309176,115,14.222112292851842,159,19.663616126638637,181,22.38436804353203,33,4.081127875340094,8,0.9893643334157805,468,57.87781350482315,109,13.480089042790006,68,8.409596834034133,0.0,0.0,5.0,0.6183527083848628,81,10.017313875834777,404,49.96289883749691,191,23.621073460301755
AR5_WG3_SPM.spacy,9891,590,59.650187038722066,244,24.668890910929125,4,0.40440804772014965,2.0,0.20220402386007483,19,1.9209382266707107,0.0,0.0,16,1.6176321908805986,1,0.10110201193003741,19,1.9209382266707107,6,0.6066120715802245,7,0.7077140835102619,192,19.411586290567183,102,10.312405216863816,28.0,2.8308563340410475,27.0,2.72975432211101,26.0,2.6286523101809727,1.0,0.10110201193003741,0.0,0.0,199,20.119300374077447,315,31.84713375796178,207,20.928116469517743,32,3.2352643817611972,8,0.8088160954402993,461,46.608027499747244,113,11.424527348094227,31,3.13416236983116,1.0,0.10110201193003741,7.0,0.7077140835102619,90,9.099181073703367,336,33.97027600849257,218,22.040238600748157
AR6_WG3_SPM.spacy,14328,353,24.637074260189838,255,17.797319932998324,2,0.13958682300390843,5.0,0.3489670575097711,9,0.628140703517588,0.0,0.0,18,1.256281407035176,5,0.3489670575097711,3,0.20938023450586266,15,1.0469011725293131,10,0.6979341150195422,320,22.33389168062535,230,16.05248464544947,11.0,0.7677275265214963,83.0,5.7928531546622,7.0,0.48855388051367954,1.0,0.06979341150195421,3.0,0.20938023450586266,291,20.309882747068677,302,21.07761027359017,330,23.03182579564489,42,2.931323283082077,13,0.9073143495254048,821,57.30039084310441,144,10.050251256281408,73,5.094919039642658,5.0,0.3489670575097711,20.0,1.3958682300390843,90,6.28140703517588,558,38.94472361809046,198,13.819095477386936
Wiki_CCM_2005-06-26.spacy,769,10,13.003901170351105,26,33.81014304291288,2,2.6007802340702213,0.0,0.0,33,42.91287386215865,0.0,0.0,6,7.802340702210663,3,3.9011703511053315,1,1.3003901170351106,2,2.6007802340702213,1,1.3003901170351106,35,45.51365409622887,5,6.501950585175552,4.0,5.201560468140443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,18.205461638491546,2,2.6007802340702213,5,6.501950585175552,23,29.90897269180754,2,2.6007802340702213,55,71.52145643693109,1,1.3003901170351106,5,6.501950585175552,1.0,1.3003901170351106,0.0,0.0,43,55.916775032509754,7,9.102730819245773,3,3.9011703511053315
Wiki_CCM_2008-05-07.spacy,4466,56,12.539184952978056,91,20.37617554858934,5,1.1195700850873265,1.0,0.2239140170174653,73,16.345723242274968,0.0,0.0,11,2.4630541871921183,10,2.239140170174653,12,2.6869682042095833,7,1.567398119122257,11,2.4630541871921183,141,31.571876399462607,31,6.941334527541424,50.0,11.195700850873266,14.0,3.134796238244514,19.0,4.2543663233318405,4.0,0.8956560680698612,5.0,1.1195700850873265,79,17.68920734437976,1,0.2239140170174653,91,20.37617554858934,51,11.41961486789073,11,2.4630541871921183,331,74.11553963278102,28,6.269592476489028,58,12.987012987012989,1.0,0.2239140170174653,9.0,2.0152261531571876,246,55.08284818629646,170,38.065382892969104,37,8.284818629646216
Wiki_CCM_2014-09-02.spacy,8046,156,19.388516032811335,247,30.698483718617947,6,0.7457121551081282,2.0,0.24857071836937608,109,13.547104151130997,4.0,0.49714143673875216,25,3.107133979617201,9,1.1185682326621924,21,2.609992542878449,18,2.237136465324385,14,1.7399950285856327,334,41.51130996768581,47,5.841411881680338,123.0,15.287099179716629,23.0,2.8585632612478253,21.0,2.609992542878449,2.0,0.24857071836937608,5.0,0.6214267959234402,99,12.304250559284117,24,2.9828486204325126,177,21.998508575689783,53,6.587124036788466,14,1.7399950285856327,578,71.8369376087497,86,10.688540889883173,74,9.197116579666915,6.0,0.7457121551081282,16.0,1.9885657469550087,386,47.97414864528959,315,39.14988814317673,118,14.66567238379319
Wiki_CCM_2022-06-13.spacy,10883,189,17.366534962785995,224,20.582559955894514,7,0.6432049986217035,2.0,0.18377285674905816,126,11.577689975190665,0.0,0.0,21,1.9296149958651108,24,2.2052742809886983,23,2.113387852614169,34,3.124138564733989,4,0.3675457134981163,250,22.97160709363227,131,12.03712211706331,64.0,5.880731415969861,17.0,1.5620692823669946,33.0,3.03225213635946,4.0,0.3675457134981163,5.0,0.4594321418726454,246,22.604061380134155,21,1.9296149958651108,82,7.534687126711384,129,11.853349260314252,20,1.8377285674905817,838,77.00082697785537,58,5.329412845722687,187,17.182762106036936,7.0,0.6432049986217035,54.0,4.961867132224571,225,20.674446384269043,475,43.64605347790131,115,10.566939263070843
